Filename,Segment,F1,F2
TEXMMA-taste,ex22,533.2920236164807,1003.3038006297353
TEXMMA-taste,ah22,666.2762397041429,977.9285064637162
TINAH-mud,i22,311.1501511226619,2223.109562392143
TINAH-mud,ah22,592.5600856465783,1202.3608723624318
TOR-net,o22,450.2664499204802,796.8830985505116
TORE-nets,o22,428.53893787891775,847.7162837185097
TORE-nets,e22,453.7272153653694,1812.0126149737239
TORE-netscopy,o22,400.99657546493813,843.1267334204997
TORE-netscopy,e22,456.05057071165675,1816.6754324719377
TOREV-hisnet,o22,420.0131226121602,857.9609459731588
TOREV-hisnet,e22,488.9388865816339,1763.3948487963216
TOTAH-favorkindness,o22,410.65769304141713,903.0728354218577
TOTAH-favorkindness,ah22,598.3575631694458,1034.0133447068806
TXXRELE-hedrove,e22,517.7222260494989,1668.5732115261674
YAHRAH-wound,ah22,563.7434362951411,1019.3522876439494
YAHRAH-wound,ah22,572.4883615620253,1039.472200884517
amrah-mayshesay,a11,677.6524252860327,1470.2050007748398
amrah-mayshesay,ah11,577.9785659365073,1048.9594600500793
arah-ground,a11,688.7153230890877,1483.7964222765397
arah-ground,ah11,583.0723739532946,1091.9855343437262
axni-we,a11,749.9322613619091,1615.2561023392664
axni-we,i11,371.3566042982557,2250.351785782193
bali-mymind,a11,684.37668540818,1217.7735103488594
bali-mymind,i11,306.6294055878278,2145.2671001825083
bamah-why,a11,638.9428687376655,1143.6206645360714
bamah-why,a11,567.9437112388272,949.892210845161
bastah-package,a11,692.9898046567379,1559.8862033448158
bastah-package,ah11,606.8175098735197,1103.2369283978555
baxta-woman,a11,746.4415378785075,1516.5446338546178
baxta-woman,ah11,615.8604744169581,1053.2004922032422
belah-house,e11,446.176358827366,1874.6409254800878
belah-house,ah11,605.6222516022035,1061.3996365482774
blane-daughtersgirls,a11,636.2392755236872,1246.084802382377
blane-daughtersgirls,e11,512.0842541194073,1925.6837357204226
buz-spillpour,u11,329.3032418571004,1742.4565592461565
chahrag-quarter,ah11,555.2671987765581,1050.3906140223794
chahrag-quarter,a11,619.3352225687983,1487.6733637904065
chahrband-smalloftheback,ah11,599.5230167889176,1029.5224134849198
chahrband-smalloftheback,a11,628.4480414768759,1506.230868464959
chahrchaf-sheet,ah11,607.8277336423918,1130.891773107433
chahrchaf-sheet,a11,668.1409440191187,1436.14015974101
chapkah-clap,a11,697.5170056963572,1477.65348193042
chapkah-clap,ah11,591.1871405213958,1054.33214077646
charchi-peddler,a11,651.4045836543764,1538.7279641402288
charchi-peddler,i11,296.97192938956766,2209.970236783238
charchiwa-frame,a11,653.7177958610438,1531.074937870979
