Filename	Label	seg_Start	seg_End	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF2_mean	pF2_means001	pF2_means002	pF2_means003	
PAGAH.mat	"ah22"	810.272	954.590	795.977	800.889	762.255	820.215	2883.773	2917.296	3104.085	2597.143	
PASOXE.mat	"a22"	85.739	151.998	944.774	1055.630	665.719	1088.302	3110.334	3003.584	2787.035	3517.745	
PASOXE.mat	"o22"	300.176	465.220	574.012	606.280	559.085	555.719	3233.052	3222.142	3230.286	3249.333	
PASOXE.mat	"e22"	612.194	809.569	466.065	504.954	457.173	417.390	2439.320	2406.929	2493.876	2408.622	
PXXLIMAH.mat	"xx22"	811.849	938.196	783.212	658.450	875.795	818.438	3408.404	3380.261	3465.900	3382.231	
PXXLIMAH.mat	"i22"	1021.320	1134.367	364.543	348.287	367.802	377.962	2590.446	2620.137	2604.947	2546.216	
PXXLIMAH.mat	"ah22"	1230.790	1390.386	955.567	982.011	893.432	993.108	3271.012	3430.468	3045.118	3344.571	
PYAHLAH.mat	"ah22"	429.292	548.637	770.624	790.603	786.126	735.712	3156.514	3032.719	3154.683	3282.980	
PYAHLAH.mat	"ah22"	621.150	791.857	860.287	713.770	767.331	1097.318	3311.124	3320.152	3328.797	3285.088	
QETRAH.mat	"e22"	94.264	165.388	709.581	821.601	621.157	677.991	1843.048	1701.237	1618.375	2202.308	
QETRAH.mat	"ah22"	517.569	641.464	697.828	626.902	647.425	818.060	1672.746	1128.568	1108.918	2751.682	
QETRAH2.mat	"e22"	169.931	256.744	657.341	770.084	651.725	561.250	1715.102	1908.012	1557.701	1733.217	
QETRAH2.mat	"ah22"	557.559	700.900	674.188	660.483	669.862	691.793	1359.739	1252.267	1167.114	1650.954	
QEXNYAH.mat	"ex22"	898.115	971.248	595.238	562.434	584.277	639.021	1753.971	1713.216	1716.127	1831.204	
QEXNYAH.mat	"ah22"	1223.892	1390.104	836.394	671.713	854.837	980.538	1957.657	1913.773	1213.800	2735.732	
QEXTTAH.mat	"xx22"	2068.707	2115.938	707.684	582.453	650.492	879.043	2583.789	1405.446	2970.894	3241.330	
QEXTTAH.mat	"ah22"	2431.900	2573.594	762.913	680.991	707.275	896.106	1563.949	1250.123	1124.016	2282.812	
QIRAH.mat	"i22"	490.439	720.417	374.061	393.552	364.915	363.546	2638.732	2612.222	2697.733	2606.021	
QIRAH.mat	"ah22"	822.211	965.476	755.531	704.630	774.898	790.307	1423.577	1285.715	1187.708	1791.439	
RABTAH.mat	"a22"	131.341	220.224	781.664	698.191	836.259	814.752	1603.178	1720.076	1650.937	1437.673	
RABTAH.mat	"ah22"	476.032	608.272	802.635	722.124	798.743	890.240	1685.342	1227.996	1877.293	1917.213	
RESHAH2.mat	"e22"	120.977	320.049	556.401	508.487	439.687	719.052	2354.793	2143.343	2345.575	2574.547	
RESHAH2.mat	"ah22"	453.137	615.303	742.772	680.338	724.433	821.221	1764.685	1991.278	1332.218	1957.068	
RUB.mat	"u22"	343.559	533.391	456.782	467.779	432.754	469.008	2472.229	2045.967	2384.031	3010.163	
