Filename,Segment,F1,F2
SALOE-topray_s1,ø22,437.1319046,888.3885519
SALOE-topray_s1,ɛ22,494.1242341,1921.466119
SESQE-gristle_s1,ɛ22,412.3826737,1870.0595
SESQE-gristle_s1,ɛ22,464.7915011,1980.240763
SIWÂ-pieceofwood_stick_s1,i22,361.059511,2434.207786
SIWÂ-pieceofwood_stick_s1,ɑ22,554.6753938,1136.602274
SOL-leftside_s1,ø22,430.2768838,958.8933597
SOMÂ-fastcopy_s1,ø22,412.181274,903.6517615
SOMÂ-fastcopy_s1,ɑ22,565.0016045,1225.56865
SYOT-pepper_s1,ø22,418.2048777,1197.870573
SYOT2_s1,ø22,425.4107344,1227.860605
SĒBOTÂ-finger_toe_s1,ē22,411.7646395,1315.682101
SĒBOTÂ-finger_toe_s1,ø22,404.6965061,941.9670739
SĒBOTÂ-finger_toe_s1,ɑ22,579.7112611,1217.025286
SĒLOLÂ-prayer_s1,ē22,393.2355772,1091.014511
SĒLOLÂ-prayer_s1,ø22,446.4112555,904.1939358
SĒLOLÂ-prayer_s1,ɑ22,630.0813978,1134.271141
SĒWELE-heoutwitted_s1,ē22,487.4959398,1268.768941
SĒWELE-heoutwitted_s1,ɛ22,527.6817781,1800.497788
SĒWELE-heoutwitted_s1,ɛ22,565.8367811,1887.249242
SĒWELE2_s1,ē22,419.926842,1301.428967
SĒWELE2_s1,ɛ22,504.6116697,1904.61017
SĒWELE2_s1,ɛ22,811.0584802,1901.928214
SĒWELE3_s1,ē22,394.0034956,1167.093662
SĒWELE3_s1,ɛ22,477.2338529,1748.849966
SĒWELE3_s1,ɛ22,721.92383,1879.438825
SĒYOT-pepper_s1,ø22,424.5226984,1214.083236
SĒYOT2_s1,ø22,424.3885944,1223.42436
SĖTRÂ-crack_s1,ə22,485.1854952,1492.360448
SĖTRÂ-crack_s1,ɑ22,566.3053678,1204.355
TENÂ-load_burden_s1,ɛ22,500.2318712,2187.435045
TENÂ-load_burden_s1,ɑ22,718.1359206,1466.555474
TINÂ-mud_s1,i22,361.0913957,2588.50217
TINÂ-mud_s1,ɑ22,522.6202302,1470.043586
TOR-net_s1,ø22,430.5520262,874.7271343
TOR2_s1,ø22,461.057913,980.9240579
TORE-net_s1,ø22,443.0076344,981.2210429
TORE-net_s1,ɛ22,519.3671596,2026.919157
TORE-nets,ø22,468.7449953,993.2244414
TORE-nets,ɛ22,510.0035712,1895.321755
TORE2_s1,ø22,445.4783302,987.398607
TORE2_s1,ɛ22,525.3823796,2017.304086
TOREV-hisnet_s1,ø22,430.2229156,1031.58337
TOREV-hisnet_s1,ɛ22,506.6583558,1746.129281
TOTÂ-favor_kindness_s1,ø22,396.5477649,1025.80429
TOTÂ-favor_kindness_s1,ɑ22,624.3647708,1218.027296
TÂLANÂ-player_gambler_s1,ɑ22,538.6500771,1041.201255
TÂLANÂ-player_gambler_s1,æ22,823.0892546,1343.347483
TÂLANÂ-player_gambler_s1,ɑ22,528.3732636,1338.142245
TÂLÂNÂ2_s1,ɑ22,552.7023211,1089.086509
TÂLÂNÂ2_s1,æ22,879.7434745,1307.793747
TÂLÂNÂ2_s1,ɑ22,359.6237733,1161.369974
TÂYFÂ-tribe_s1,ɑ22,580.0275113,1439.499747
TÂYFÂ-tribe_s1,ɑ22,646.7297696,1222.566017
TĒRELE-hedrove_s1,ē22,506.6938511,1465.372275
TĒRELE-hedrove_s1,ɛ22,565.7648634,1901.7091
TĒRELE-hedrove_s1,ɛ22,576.9394147,1980.903125
TĖMMA-taste_s1,ə22,547.3152013,1281.506311
TĖMMA-taste_s1,ɑ22,597.9494832,1134.265474
XALOQE-tocreate_s1,æ22,643.9099315,1378.778313
XALOQE-tocreate_s1,ø22,466.6367331,978.8343941
XALOQE-tocreate_s1,ɛ22,507.1597019,1901.854406
XÂNÂ2_s1,æ22,651.1075926,1380.182088
XÂNÂ2_s1,ɑ22,592.3621688,1243.07033
XĖLTÂ-mistake_s1,ə22,488.836906,1116.918222
XĖLTÂ-mistake_s1,ɑ22,597.6990115,1185.592103
XĖNPNÂ-twohandfuls_s1,ə22,477.1120795,1040.26809
